store_name,content
봄의정원 회기점,"지나가다  들어간 음식점.청소년2,어른3모두 오일파스타가 최고였다고.수비드오겹살도  부들부들 맛이 좋았는데, 서빙 접시를 좀 더 고급진 것으로 했으면 하고, 양이 조금부족한듯 했어요.투명 유리접시는 좀....그랬어요.주문한 모든 메뉴 맛있게 먹었어요."
언니네함바그,지방살지만 서울 경희의료원 올때마다 한번씩 들려서 밥먹고가요..1접시를 깨끗이 치웠네요 너무 맛있어요
언니네함바그,회기 맛집입니다! 함박스테이크 맛있고 가성비도 좋아요 매장 내부도 귀엽습니다 ㅎㅎ 추천드려요~
언니네함바그,배달로만 주문해서 먹다가 오늘은 늦은점심으로 매장에 도착해서 20분정도 기다려서 먹게 되었는데너무 맛있고 양도 많고 다음에 또 올 것 같아요!!
언니네함바그,너무 맛있어요!! 회기 명물 ㅎㅎ
언니네함바그,항상 넘나 친절하셔서 기분이 좋은 곳이에요!! 음식은 말할것도 없고 오늘은 뭔가 더 기분좋게 식사했어요💖
언니네함바그,오리지널도 카레도 다 맛나요특히 샐러드.별거 아닌데 넘 맛나요.오늘도 잘먹겠습니다^^
언니네함바그,맛있어요
언니네함바그,너무 맛있게 잘 먹었어요
언니네함바그,두번째 방문인데 이번에도 맛있게 잘 먹었습니다 다음에 또 올게요
언니네함바그,오랜만에 먹었는데 역시 너무 맛있게 잘먹었어요 ㅎㅎ 같이간 형도 맛있다고 했어요
언니네함바그,항상 여기서 먹어요 ㅎㅎ 다른곳이랑은 비교불가.. 오래 함께 해주세요 :)
언니네함바그,항상 맛있게 먹고 있어요! 회기 최애 맛집!
언니네함바그,오랜만에 왔는데 역시 맛있네요 !! 함바그는 언니네가 최고에요 ㅠㅠ
언니네함바그,카레함박 왕맛잇어요 친구들이랑 근처에서 밥 먹을 일 있으면 매번 언함으로 갑니도 ... 🥹
언니네함바그,치즈함박이랑 매콤 먹었는데 둘다 맛나용 😍 찾아온 보람이있어요
언니네함바그,군대 갔다오고 대학 동기랑 몇 년만에 먹었는데 진짜 예전 맛 그대로ㅜㅜ 너무 맛있게 잘 먹었습니다!!
언니네함바그,처음 방문했는데 종류가 많아 고민하다가 매운함바그와 치즈 함바그를 주문했는데 모두 전혀 느끼하지 않고 맛있었습니다. 그리고 일하시는 분도 친절히 대해 주셔서 좋았습니다.다음에 또 방문하고 하겠습니다. 😊
언니네함바그,넘 맛있고 분위기도 좋아요~!💓
언니네함바그,매콤 함박 시켰는데 너무 맵지도 않고 알싸한 게 맛있어요!!
언니네함바그,대학 입학부터 믿고 먹는 언니네 함바그입니다회기 오시면 꼭 가보셔야 해요
언니네함바그,"가성비와 맛, 내부가 작아도 분위기가 좋습니다!특히 맛이 좋아서 또방문할거같아요"
언니네함바그,"든든하고 따듯한 밥이 생각날 때 오는 곳이에요~가게 자체도 아늑하고 포근한 느낌이 좋아서 종종 찾게 되요ㅎㅎ함박 스테이크 위에 쌓여나오는 반숙과 진미채 튀김은 아래 깔린 소스와 숙주랑 같이 먹으면 밥 한공기 뚝딱이에요,, 기본으로 주시는 밥이랑 국 외에 추가로 리필해주셔서 늘 든든히 먹고 갑니다!너무 맛있어서 정신없이 먹다보니 한조각 남은 사진뿐이네요😂개인적으로는 카레 함박스테이크.. 카레향이 너무 세지 않고 부드러워서 너무너무 추천이요👍"
언니네함바그,여기가 너무나도 좋은 이유는저도 물론 당연히 좋아하지만저희 어머니가 넘나 좋아하신다는것에 있어요어머니 입맛에 맞고 거기에 맘까지 들게 하는 이런 집 찾는게 쉽지 않았거든요 마치 빛과 소금 같은 느낌이랄까외출하는게 어려우신 분인지리 그저 좋기만 했습니다자주 사먹을께요
언니네함바그,"항상 올때마다 느끼는 거지만, 집 근처에 이런 식당에 있음에 감사합니다"
언니네함바그,항상 맛있어요
언니네함바그,자주오는 곳이에요 ♥️ 오늘도 맛있게 잘먹고갑니당 카레함바그최고에요 !!
언니네함바그,회기 주민께 추천받은 곳이에요친절하시고 음식도 맛있어요!👍
언니네함바그,음식 맛도 좋고 양도 많아서 든든하게 점심 식사했습니다:)분위기도 좋고 인테리어도 너무 예뻐요! 구석구석 사장님 취향이 잘 보여요🖤잘 먹었습니다🫨
언니네함바그,카레랑 일반 시켰는데 둘다 너무 맛있네요! 셀러드도 괜찮고 밥도 부족하면 서비스로 추가해주십니다!
언니네함바그,두번째 시켜먹었을 때 사진인데먹기 전 찍었던 밥사진을 올려보려고 해요힌 쌀밥도 좋지만사진처럼 건강에 좋은 밥으로 제공해주셔서먹는 내내 몸이 좋아지는 듯한 느낌이 들었어요
언니네함바그,"연애시절 데이트코스였던 맛집...!결혼 후 와서 먹었는데,가게가 이전했어도 맛은 그대로입니다."
언니네함바그,치즈랑 기본! 웨이팅 있고 오래걸리지만 괜춘
언니네함바그,"치즈함바그는 모짜렐라 + 꾸떡한 소스 즐기시는 분들이 만족하실 것 같아요! 매운함바그는 맵찔이 충분히 가능했고, 오히려 마지막 한입까지 물리지 않는 맛이었습니다! 맛있어서 두사람 다 완그릇했습니다! :)"
언니네함바그,다음에 또 와도 좋은 집!
언니네함바그,뻔하지 않은 특별한 함바그!졸업생인데 많은 곳 제쳐두고 올만큼 학생때부터 좋아했습니다!!역시나 대존맛
언니네함바그,"정말 맛있어요 !~가게 분위기도 너무 좋아요자주 먹으러도 가고, 데려간 친구들 모두 맛있다고 하는 집이에요 추천 !!"
언니네함바그,너무맛있어요
언니네함바그,정말 맛잇어요~!!!!!
언니네함바그,제가 넘 좋아하는 집이에요 그치만 테이블이 많이 없어서 먹으려면 피크타임은 피해서 가야해요 ㅠ
언니네함바그,ㅠㅠ오늘도 맛있었어요 식전에 샐러드 두 그릇... 순삭맛있게 먹고갑니당 ㅎㅎ
언니네함바그,너무 맛있어서 정신 없이 먹고나니사진으로 찍을만한게 남아있질 않았어요ㅠㅜ그래서 주문 내역 인증으로 어쩔 수 없이...오늘 특별한 날이라 그런지 가게들이 다 닫혀있더라구요어쩌지 고민하다가 한번 먹어보자 찜해놓고 못 간 언니네함바그가 갑자기 기억이 나서 열심히 되짚어서 전화번호 찾아서 바로 전화...다행히 전화가 되었고 주문이 가능하다고 해서 부리나케 20분을 뛰어서 주문하고 그랬네요자주 방문할거 같아요넋두리가 길었네요아 또 먹고 싶
언니네함바그,너무 맛있게 잘먹었어요~ 분위기가 좋아서 연인끼리 와도 좋을것 같아요! 재료도 신선하고 다음에 또올게요
언니네함바그,"인테리어 소품들은 자주 바뀌지만, 맛은 항상 일정한 언니네 함바그!나름 특색있는 4가지 메뉴가 있어 골라먹을 수 있고 한끼 배부르게 먹을 수 있어서 좋아요 ㅎㅎ"
언니네함바그,넘 맛있게 잘 먹었어요! 서빙하시는 핑크색 맨투맨 여자분과 사장님도 친절하셔서 더욱 기분좋은 식사였습니다.
언니네함바그,점심시간대라 그런지 배달도 밀려있어 음식 나오는데 오래걸렸지만 맛있었습니당
언니네함바그,외대 졸업생인데 크리스마스날 특별한 추억의 맛 여행 잘했어요ㅠㅠ 매콤인데 치즈를 추가해서 그런지 하나도 안매웠어요...고추 더 많이 넣어도 맛있을거같아요 히히 완전 배부르게 맛나게 잘먹었습니당!!!
언니네함바그,너무 맛있어요~!! 다음에 또 올게요
언니네함바그,오랜만에 방문했는데 너무 맛있었어요 💗💗싹싹비웠습니다...😍
언니네함바그,올 때마다 너므 맛있어여 ~~~ 🤍🤍🤍추천추천왕추천 ~~~~~
언니네함바그,이날은 뭔가 소스가 싱거웠어요...! 함바그도 간이 약했던 기억이
언니네함바그,완전 아늑해요 음식도 맛있어요!
언니네함바그,역시 맛있어요
언니네함바그,생각나서 1년만에 재방문! 차타고 20분 거리에서도 먹으러 왔어요! ㅎㅎ
언니네함바그,한 번씩 푸짐하게 힘나고 싶을 때 땡기는 함박!! 다양한 맛과 두툼한 육질!!! 참깨 샐러드 드레싱 샐러드도 넘 맛나요!!
언니네함바그,매운함바그 카레함바그 주문했는데 맛있어요음악이 너무 좋쿠 직원분도 너무 친절하시네요^^
언니네함바그,가게 분위기 아늑하고 음식이 너무 맛있어요!철판에 나와서 다먹을때까지 따뜻하게 먹을 수 있어서 좋아요~~번창하세요🥰
언니네함바그,맛있어요! 매운 함바그는 그냥 함바그 느낌 보다는 팟타이 느낌이 많이 나는 소스였어요 ! 치즈는 정석적인 함박스테이크 맛이었는데 넘 맛있었습니당
언니네함바그,11시40분쯤 도착했는데 웨이팅 없이 바로 주문 가능했어요:) 직원분도 친절하시고 음식은 항상 맛있어요~
언니네함바그,너무 맛있고 따뜻하고 친절해요
언니네함바그,너무 맛있고 사장님이 친절해요 🩷 노래도 너무 좋아요 🩷
여기가좋겠네,ㅈㅇㅇ
여기가좋겠네,좋아요
여기가좋겠네,연애할때가고 거의10년만에 갔는데 가격이 여전히 저렴하고 맛있어요👍 추억의맛집~
여기가좋겠네,찜닭과 고기떡볶이에요~  고기떡볶이는 필수!  맨날 닭볶음탕만 먹다가 찜닭시켜 봤는데 맛있네요~~
여기가좋겠네,맛과 양 가격 모두 잡은 곳...두 명 기준으로 닭도리(소)+고기떡볶이가 옛날부터 국룰이에요🤪배가 고파지면 이런 매장이 주변에 있다는 사실이 어찌나 감사한지 모르겠습니다ㅎ
여기가좋겠네,가성비 최고!!
여기가좋겠네,성인여자2➡️닭도리탕소+면사리+공기밥이렇게 시키세요. 멋모르고 중자 시켰다가 다 못먹고 나왔어요ㅋㅋ 양 정말 많고 집밥 맛에 가성비 최고입니다 대학가 정석맛집!!!! 근처에 사는데 집밥이 생각난다면 추천합니다
여기가좋겠네,좋아요
여기가좋겠네,"두명이서 고기떡볶이, 닭도리탕 중 사이즈로 먹었는데 양이 많았어요ㅎㅎ 고기떡볶이는 떡볶이와 제육볶음 느낌으로 맛있었어요~"
여기가좋겠네,따로따로 포장하신 센스가 와👍중자 아니구 대자 아닌가용?ㅎ 맛나고 양 많고 안먹을 이유가 없네요 ㅋ
여기가좋겠네,"고기떡볶이는 배고파서 먼저 먹다가 찍었습니다,, 회기 닭볶음탕집 하면 넘버원이쥬 헤헤 밑반찬도 너무 맛있고 가성비가 진짜 최고에요!!!! 근데 또 간도 맛있어.. 특히 닭볶음탕은 처음 나오고 5분정도 쫄여서 먹음 더더더더 맛있어여 헷 여기 방문은 정말 수도없이 많이했지만 오늘 첨으로 후기 남겨봅니다~~~ 완전 강추!!!"
여기가좋겠네,맛은 있지만 난 이제 놔줘야할 때?백종원 골목식당 경희대편에 나온 뒤로 더 인기를 얻었던 '여기가 좋겠네'닭도리탕과 고기떡볶이 가격이 착해서 종종 방문해 식사.및 포장.맛은 그대론데 피곤하신지 사장님은 내내 뚱하게 사람을 대하심.제일 한가한 시간에 포장주문인데도 의아함.. 그닥 유쾌하지 않은 경험.단골은 아닐지라도  종종 들렀었는데 영 불편했음.나오면서 인사하는데도 받는둥 마는둥 주객전도.여튼 여기 고기떡볶이는 고기 노릇하게 볶아주고서 육수넣고 끓이다 마지막에 떡넣고 2~3`분 끓여주면 맛있게 완성.그러고보니 육수 안 양배추도 덜 썰린채 통으로 들어있음.기분좋게 리뷰 쓰려고 했는데 여러모로 아쉬운 방문.맛 좋고 가격 저렴하니 좋은 집이지만 난 이제 다른 집을 찾아보려 함.
여기가좋겠네,좋아요
여기가좋겠네,고기떡볶이까지 알차게 먹고왔어요 맛있어요언제 먹어도 맛있는곳이예요 줄서야할수도있으니 주의하세요
여기가좋겠네,맛나다
여기가좋겠네,가성비 좋아요 맛있어요
여기가좋겠네,"결론: 다시는 갈일 없음이유: 닭도리탕은 닭이 뼈 발골하면 먹을게 없음. 그리고 닭에 간이 안배 맛이 밍밍. 국물은 짬. 맛없다. 사장이 바뀐건지 맛도 변함그리고 모듬어묵떡볶이 최악 , 소금 들이부음짜도 너무 짜다. 게다가 반찬도 다 짜다.가실거면 찜닭만 드시길 추천"
